"","PROBEID","SYMBOL"
"663","HTA2-pos-2912058_st",NA
"664","HTA2-pos-2924292_st",NA
"665","HTA2-pos-2924303_st",NA
"666","HTA2-pos-2924312_st",NA
"667","HTA2-pos-2924315_st",NA
"668","HTA2-pos-2924319_st",NA
"669","HTA2-pos-2924323_st",NA
"670","HTA2-pos-2924325_st",NA
"671","HTA2-pos-2924329_st",NA
"672","HTA2-pos-2924331_st",NA
"673","HTA2-pos-2928559_st",NA
"674","HTA2-pos-2928790_st",NA
"675","HTA2-pos-2930642_st",NA
"676","HTA2-pos-2942394_st",NA
"677","HTA2-pos-2942396_st",NA
"678","HTA2-pos-2942399_st",NA
"679","HTA2-pos-2942414_st",NA
"680","HTA2-pos-2960237_st",NA
"681","HTA2-pos-2960249_st",NA
"682","HTA2-pos-2978678_st",NA
"683","HTA2-pos-2978680_st",NA
"684","HTA2-pos-2978682_st",NA
"685","HTA2-pos-2978683_st",NA
